"","EVENT","M","Period","dBe"
"172","us10007mn3",7.6,0.05,0.650770336593369
"173","us2000d3km",7.2,0.05,0.758877326522212
"174","us7000asvb",7.8,0.05,0.0790510320477546
"175","us7000i9bw",7.6,0.05,0.129477647624574
"176","us7000kg30",7.2,0.05,0.196059153552485
"177","3000105",7.66,0.075,-1.36702525083441
"178","3000177",7.38,0.075,-0.819495199527106
"179","4000001",9.12,0.075,-0.805331853561374
"180","4000002",7.36,0.075,0.323305285887982
"181","4000068",8.29,0.075,0.255781882756686
"182","4000094",7.76,0.075,0.187509541772511
"183","4000095",8.26,0.075,-0.0300929118374853
"184","4000096",7.65,0.075,0.546826585585134
"185","4000165",6.74,0.075,-0.433988250065569
"186","6000057",8.41,0.075,1.31638727540752
"187","6000079",8.15,0.075,-0.0563424274174357
"188","6000149",8.81,0.075,0.109208012836069
"189","6000272",8,0.075,-0.20305522744118
"190","6000323",7.98,0.075,-0.699300665486938
"191","6000338",8.31,0.075,0.176080257666165
"192","6000339",7.82,0.075,-0.446038526921078
"193","ak0219neiszm",8.2,0.075,0.258410933186659
"194","us10007mn3",7.6,0.075,0.626264556167765
"195","us2000d3km",7.2,0.075,0.799911615017131
"196","us7000asvb",7.8,0.075,0.0198466153783633
"197","us7000i9bw",7.6,0.075,0.0656849394304163
"198","us7000kg30",7.2,0.075,0.175452812000199
"199","3000105",7.66,0.1,-1.41866765133602
"200","3000177",7.38,0.1,-0.754665042121705
"201","4000001",9.12,0.1,-0.783576338402948
"202","4000002",7.36,0.1,0.373288974299038
"203","4000068",8.29,0.1,0.272044197042282
"204","4000094",7.76,0.1,0.259577022848556
"205","4000095",8.26,0.1,-0.0689510850930412
"206","4000096",7.65,0.1,0.493562502671351
"207","4000165",6.74,0.1,-0.428372917548567
"208","6000057",8.41,0.1,1.33029867648726
"209","6000079",8.15,0.1,-0.049997029488999
"210","6000149",8.81,0.1,0.110284618745661
"211","6000272",8,0.1,-0.204467782135058
"212","6000323",7.98,0.1,-0.759310800091023
"213","6000338",8.31,0.1,0.187500084245581
"214","6000339",7.82,0.1,-0.485332336740757
"215","ak0219neiszm",8.2,0.1,0.273799873305829
"216","us10007mn3",7.6,0.1,0.651062830708894
"217","us2000d3km",7.2,0.1,0.759271637512319
"218","us7000asvb",7.8,0.1,0.0167929344589916
"219","us7000i9bw",7.6,0.1,0.0245092936516087
"220","us7000kg30",7.2,0.1,0.201348336980729
"221","3000105",7.66,0.15,-1.33604564495654
"222","3000177",7.38,0.15,-0.828861112641932
"223","4000001",9.12,0.15,-0.850772930544242
"224","4000002",7.36,0.15,0.367679713752641
"225","4000068",8.29,0.15,0.220701921553809
"226","4000094",7.76,0.15,0.336185514884807
"227","4000095",8.26,0.15,0.046726231422852
"228","4000096",7.65,0.15,0.469751689137061
"229","4000165",6.74,0.15,-0.421589922987924
"230","6000057",8.41,0.15,1.3783407939509
"231","6000079",8.15,0.15,-0.0452587151659327
"232","6000149",8.81,0.15,0.143655164442151
"233","6000272",8,0.15,-0.189877051650486
"234","6000323",7.98,0.15,-0.71629616760954
"235","6000338",8.31,0.15,0.101367159890811
"236","6000339",7.82,0.15,-0.481749053887967
"237","ak0219neiszm",8.2,0.15,0.221155966829381
"238","us10007mn3",7.6,0.15,0.68158850880261
"239","us2000d3km",7.2,0.15,0.705398334868995
"240","us7000asvb",7.8,0.15,0.0252409969494306
"241","us7000i9bw",7.6,0.15,-0.0337124749514831
"242","us7000kg30",7.2,0.15,0.206371077910602
"243","3000105",7.66,0.2,-1.35159990143475
"244","3000177",7.38,0.2,-0.981998974009513
"245","4000001",9.12,0.2,-0.872642165742786
"246","4000002",7.36,0.2,0.291668842474017
"247","4000068",8.29,0.2,0.133354537203495
"248","4000094",7.76,0.2,0.330523252904041
"249","4000095",8.26,0.2,0.178606764114371
"250","4000096",7.65,0.2,0.420957532972084
"251","4000165",6.74,0.2,-0.424619335120367
"252","6000057",8.41,0.2,1.32217368798097
"253","6000079",8.15,0.2,-0.0762169292629242
"254","6000149",8.81,0.2,0.199455512951496
"255","6000272",8,0.2,-0.332059266646832
"256","6000323",7.98,0.2,-0.671630106651972
"257","6000338",8.31,0.2,0.0881759935977203
"258","6000339",7.82,0.2,-0.463837327970591
"259","ak0219neiszm",8.2,0.2,0.279080623629064
"260","us10007mn3",7.6,0.2,0.796972901173784
"261","us2000d3km",7.2,0.2,0.77676394289744
"262","us7000asvb",7.8,0.2,0.106907034015035
"263","us7000i9bw",7.6,0.2,-0.0214137019562963
"264","us7000kg30",7.2,0.2,0.271377082882505
"265","3000105",7.66,0.25,-1.12896780808614
"266","3000177",7.38,0.25,-1.03137774365236
"267","4000001",9.12,0.25,-0.867432762114112
"268","4000002",7.36,0.25,0.213420481760976
"269","4000068",8.29,0.25,0.0939120923186297
"270","4000094",7.76,0.25,0.31131016555766
"271","4000095",8.26,0.25,-0.0584900763014756
"272","4000096",7.65,0.25,0.271609343779465
"273","4000165",6.74,0.25,-0.363914304997069
"274","6000057",8.41,0.25,1.27743335289477
"275","6000079",8.15,0.25,-0.0180515330657044
"276","6000149",8.81,0.25,0.341990956145685
"277","6000272",8,0.25,-0.282052863788105
"278","6000323",7.98,0.25,-0.66073754456016
"279","6000338",8.31,0.25,0.0804626474632565
"280","6000339",7.82,0.25,-0.395504332604652
"281","ak0219neiszm",8.2,0.25,0.247283105016471
"282","us10007mn3",7.6,0.25,0.807574955490862
"283","us2000d3km",7.2,0.25,0.785322329746388
"284","us7000asvb",7.8,0.25,0.136681534564096
"285","us7000i9bw",7.6,0.25,-0.00645622580781924
"286","us7000kg30",7.2,0.25,0.245984230239323
