"","EVENT","M","Period","dBe"
"221","3000105",7.66,0.15,-0.890111425047929
"222","3000177",7.38,0.15,-0.929408869654927
"223","4000001",9.12,0.15,-0.321041107895497
"224","4000002",7.36,0.15,-0.0223223892752151
"225","4000068",8.29,0.15,0.0788087967946412
"226","4000094",7.76,0.15,0.349753291178911
"227","4000095",8.26,0.15,-0.125798771428896
"228","4000096",7.65,0.15,0.279205930034288
"229","4000165",6.74,0.15,-0.413187016591141
"230","6000057",8.41,0.15,0.885146973280373
"231","6000079",8.15,0.15,-0.109552264780433
"232","6000149",8.81,0.15,-0.223680283355133
"233","6000272",8,0.15,-0.0632203180626817
"234","6000323",7.98,0.15,-0.319138441051002
"235","6000338",8.31,0.15,-0.234286618038118
"236","6000339",7.82,0.15,0.0609368551590518
"237","ak0219neiszm",8.2,0.15,0.250286031107547
"238","us10007mn3",7.6,0.15,0.691424565984867
"239","us2000d3km",7.2,0.15,0.518993476860865
"240","us7000asvb",7.8,0.15,0.23540437736414
"241","us7000i9bw",7.6,0.15,-0.0513873701203247
"242","us7000kg30",7.2,0.15,0.353174577536598
"243","3000105",7.66,0.2,-0.897252729730374
"244","3000177",7.38,0.2,-1.05500696858188
"245","4000001",9.12,0.2,-0.346973128732064
"246","4000002",7.36,0.2,-0.0903260464444168
"247","4000068",8.29,0.2,-0.00733590590459912
"248","4000094",7.76,0.2,0.35270692759675
"249","4000095",8.26,0.2,-0.0166143833430465
"250","4000096",7.65,0.2,0.252771790732252
"251","4000165",6.74,0.2,-0.394760133064682
"252","6000057",8.41,0.2,0.844556077637728
"253","6000079",8.15,0.2,-0.13533630837367
"254","6000149",8.81,0.2,-0.163923708000668
"255","6000272",8,0.2,-0.182010587998215
"256","6000323",7.98,0.2,-0.26881517077025
"257","6000338",8.31,0.2,-0.237725704711639
"258","6000339",7.82,0.2,0.0767457602816527
"259","ak0219neiszm",8.2,0.2,0.284105539408435
"260","us10007mn3",7.6,0.2,0.788625989461849
"261","us2000d3km",7.2,0.2,0.565853576210457
