"","EVENT","M","Period","dBe"
"236","6000339",7.82,0.15,0.0496446176860858
"237","ak0219neiszm",8.2,0.15,0.203827084728848
"238","us10007mn3",7.6,0.15,0.557408800653529
"239","us2000d3km",7.2,0.15,0.359668363923696
"240","us7000asvb",7.8,0.15,0.0840436438871846
"241","us7000i9bw",7.6,0.15,-0.0837119427918708
"242","us7000kg30",7.2,0.15,0.220014173689183
"243","3000105",7.66,0.2,-0.730929356320363
"244","3000177",7.38,0.2,-0.599701878052669
"245","4000001",9.12,0.2,-0.237343785598457
"246","4000002",7.36,0.2,-0.127733860644456
"247","4000068",8.29,0.2,-0.109197107161912
"248","4000094",7.76,0.2,0.281278713762053
"249","4000095",8.26,0.2,-0.0700132946196317
"250","4000096",7.65,0.2,0.268519795769578
"251","4000165",6.74,0.2,-0.260443853705844
"252","6000057",8.41,0.2,0.609952428040609
"253","6000079",8.15,0.2,-0.285744104530457
"254","6000149",8.81,0.2,-0.0365679387115758
"255","6000272",8,0.2,-0.0586998245696368
"256","6000323",7.98,0.2,-0.276853536600534
"257","6000338",8.31,0.2,-0.00707573122097487
"258","6000339",7.82,0.2,0.0637925809097849
"259","ak0219neiszm",8.2,0.2,0.230094379700026
"260","us10007mn3",7.6,0.2,0.647555966845927
"261","us2000d3km",7.2,0.2,0.403176648166807
"262","us7000asvb",7.8,0.2,0.143768963370374
"263","us7000i9bw",7.6,0.2,-0.0912122886509112
"264","us7000kg30",7.2,0.2,0.243377083822267
"265","3000105",7.66,0.25,-0.549040574441841
"266","3000177",7.38,0.25,-0.62967451891346
"267","4000001",9.12,0.25,-0.250434424884111
"268","4000002",7.36,0.25,-0.178051190693826
"269","4000068",8.29,0.25,-0.140540910254326
"270","4000094",7.76,0.25,0.268610492506444
"271","4000095",8.26,0.25,-0.212702573960642
"272","4000096",7.65,0.25,0.16970011326827
"273","4000165",6.74,0.25,-0.194820496291529
"274","6000057",8.41,0.25,0.583189276671044
"275","6000079",8.15,0.25,-0.229565694828831
"276","6000149",8.81,0.25,0.0943259004820906
"277","6000272",8,0.25,-0.028429104236976
"278","6000323",7.98,0.25,-0.284277730366681
"279","6000338",8.31,0.25,-0.0128209177163113
"280","6000339",7.82,0.25,0.0968018626086041
"281","ak0219neiszm",8.2,0.25,0.175140054027586
"282","us10007mn3",7.6,0.25,0.64345379498004
"283","us2000d3km",7.2,0.25,0.409595784543991
