"NGAsubEQID","Earthquake_Magnitude","Station_Name","Vs30_Selected_for_Analysis_m_s","PGAr","Fs - PGV_cm_sec","Fs - PGA_g","Fs - T = 0.01","Fs - T = 0.02","Fs - T = 0.025","Fs - T = 0.03","Fs - T = 0.04","Fs - T = 0.05","Fs - T = 0.075","Fs - T = 0.1","Fs - T = 0.15","Fs - T = 0.2","Fs - T = 0.25","Fs - T = 0.3","Fs - T = 0.4","Fs - T = 0.5","Fs - T = 0.75","Fs - T = 1.0","Fs - T = 1.5","Fs - T = 2.0","Fs - T = 2.5","Fs - T = 3.0","Fs - T = 4.0","Fs - T = 5.0","Fs - T = 7.5","Fs - T = 10.0"
"us7000asvb",7.8,"L22K",608,9.15124668601711e-05,0.230022974073565,0.175114807726246,0.179126098735755,0.17510918645511,0.166182949957206,0.153908790245684,0.141857416411342,0.13248368742156,0.130697270710571,0.14029084344759,0.162603242550239,0.193394230485418,0.225520790747821,0.252737421517194,0.276163373323043,0.294684185374877,0.308523540248909,0.315450337795605,0.319032594221682,0.317035437532736,0.310351490424152,0.299681789414984,0.28941718605453,0.275135998770421,0.255945653357399,0.236532164393062
"us7000asvb",7.8,"LVA",765,0.00232326600880475,-0.00676067996308997,-0.00514755942873485,-0.00526559263856571,-0.00514755942873485,-0.00488526340688848,-0.00452460637684974,-0.00417050674735715,-0.00389509592441847,-0.0038426367200492,-0.00412460494353404,-0.00478034499814994,-0.00568526627351989,-0.00662953195216679,-0.00742953481879819,-0.00811806187614489,-0.00866232612147609,-0.00906888495533795,-0.00927216437226888,0,0,0,0,0,0,0,0
"us7000asvb",7.8,"M11K",234,0.000289127265879246,1.21308016997216,0.922732321814165,0.94373653102165,0.922532697903414,0.875413017352745,0.810601381304313,0.746968118245322,0.697481955189734,0.688063973108024,0.738731937774499,0.856577486473967,1.01920685609571,1.18884602703966,1.33255941728874,1.45630007387635,1.55417346255239,1.62735419372502,1.66408226677073,1.68318753159057,1.67282512817422,1.63770808904562,1.58205039797015,1.52786252134571,1.45247069299866,1.35116292365731,1.24867715699804
"us7000asvb",7.8,"M13K",271,0.000548261797180506,1.06096055257936,0.806423731142662,0.824678242922,0.806114689301521,0.764863818688461,0.708109974349289,0.65238564921424,0.609050646232161,0.600801628528113,0.645153201939728,0.748325588859002,0.89070774768075,1.03918041678737,1.16495151006077,1.2732828175598,1.35901609510776,1.42317861642167,1.45548809584049,1.47240837919498,1.46351964806473,1.43294840820373,1.38490107945411,1.33746589728368,1.27146912209003,1.18278595542358,1.09307158914472
"us7000asvb",7.8,"M14K",238,0.000551361661893671,1.19437079521655,0.907710413921048,0.928237721282175,0.907338799604229,0.860896860509136,0.796998136705448,0.734260863336897,0.685476585242774,0.676198226147038,0.726147948431966,0.842335608399719,1.00267932517979,1.1698801926893,1.31151973180785,1.43352161027461,1.53007271104718,1.60232792440167,1.63871379822967,1.65777246881113,1.64777172934142,1.61335772474492,1.55928714115476,1.50587894421275,1.43157188759778,1.33172178027141,1.23071062518544
"us7000asvb",7.8,"M15K",582,0.000668629152751177,0.274770817269789,0.208989722284138,0.213744346278731,0.208938243761231,0.198260052015375,0.183572170106657,0.169148058556463,0.157925630105791,0.155780016043939,0.167240945468064,0.193909720525773,0.230711776486023,0.26908607723856,0.301583294689116,0.329568802366394,0.351718689237855,0.368304067058792,0.376659656924348,0.381035515394764,0.378732847994184,0.370819477619644,0.358376844592225,0.346101837256974,0.329023566181842,0.306074639424633,0.282858864681875
"us7000asvb",7.8,"M16K",563,0.000579105216948674,0.30898496442165,0.235036745313745,0.240388026304713,0.234984579990516,0.222978894090948,0.206465624087888,0.190249424718629,0.177633357843287,0.175222668437728,0.188111468962127,0.218100535899386,0.259484773127195,0.302640946759621,0.339190196672568,0.370663364972764,0.395569872433018,0.414213605670269,0.423597519640268,0.428503462869716,0.425901176483531,0.416991242730929,0.402952115303942,0.38915033026747,0.369947846738466,0.344144509496367,0.318041133449128
"us7000asvb",7.8,"M17K",374,0.000431514362825329,0.730087562141808,0.555284752985332,0.567914815410547,0.555148355073704,0.526780865878022,0.487760907513725,0.44944660578532,0.419644874997451,0.413962313305741,0.444442271341597,0.5153491388413,0.613202168655343,0.715257416864755,0.801705262174253,0.876148641241925,0.935048587540636,0.979115070181468,1.00126902224998,1.0128296108918,1.00664877404423,0.985563636344423,0.95227111996783,0.919654238718001,0.874274230022587,0.813294843338124,0.751606394017796
"us7000asvb",7.8,"M18K",466,0.00036676287754058,0.503839975763228,0.383335225954317,0.392076155347672,0.383269189122248,0.363700011849327,0.336785401387109,0.310357202300987,0.289799303556368,0.28587718195746,0.306899353042641,0.35580343698941,0.423291235716169,0.493683734397512,0.553309995558083,0.604648748755745,0.645261437517477,0.675639443186575,0.69089635309347,0.698840629891254,0.694548442920873,0.679976802425375,0.656905349264803,0.634405240503686,0.603100741357783,0.561035320630476,0.518480767104015
"us7000asvb",7.8,"M19K",555,0.000236399908107731,0.323940113450593,0.246549369134878,0.252186091700489,0.246526611305154,0.233950831767749,0.216656754156486,0.199675760039657,0.186466855309803,0.183947635794841,0.197459243093239,0.228888076518052,0.272259605700835,0.317505061508588,0.355832240441058,0.388826099594749,0.414918928198438,0.43442667119441,0.444207302397596,0.449282418599025,0.446495639897934,0.437104552096823,0.422172479134084,0.407712364435523,0.387593943985351,0.360559816505432,0.333211338705979
