EVTAG, UPLOAD_DATE
s1984NAGANO01TAKE,2012-11-16
s1984MORGAN01HART,2012-11-16
s1983JAPANE01FUKU,2014-11-17
s1983BORAHP01MEND,2012-11-16
s1982NEWBRU01HART,2012-11-16
s1981PLAYAA01MEND,2012-11-16
s1980IZUxHA01TAKE,2012-11-16
s1979COYOTE01LIUx,2012-11-16
s1979PETATL01MEND,2012-11-16
s1979IMPERI01ZENG,2012-11-16
s1979IMPERI01OLSO,2012-11-16
s1979IMPERI01HART,2012-11-16
s1979IMPERI01ARCH,2013-03-04
s1978TABASI01HART,2012-11-16
s1978MIYAGI01YAMA,2012-11-16
s1975OITAxK01TAKE,2012-11-16
s1974PERUCE01HART,2012-11-16
s1974IZUxHA01TAKE,2012-11-16
s1971SANFER01HEAT,2012-11-16
s1969GIFUxK01TAKE,2012-11-16
s1968TOKACH01NAGA,2012-11-16
s1968HYUGAx01YAGI,2012-11-16
s1961KITAMI01TAKE,2012-11-16
s1948FUKUIJ01ICHI,2012-11-16
s1946NANKAI01TANI,2012-11-16
s1946NANKAI01SATA,2012-11-16
s1946NANKAI01KATO,2012-11-16
s1946NANKAI01BABA,2012-11-16
s1945MIKAWA01KIKU,2012-11-16
s1944TONANK01TANI,2012-11-16
s1944TONANK01SATA,2012-11-16
s1944TONANK01KIKU,2012-11-16
s1944TONANK01KATO,2012-11-16
s1944TONANK01ICHI,2012-11-16
s1923KANTOJ01WALD,2012-11-16
s1923KANTOJ01KOBA,2012-11-16
s1906SANFRA01WALD,2012-11-16
s1906SANFRA01SONG,2012-11-16
s1906SANFRA01THAT,2012-11-16
s2002DENALI01ASAN,2021-09-12
s1998HIDASW16IDEx,2012-10-23
s2000KLEIFA01SUDH,2013-08-08
s2004SUMATR01AMMO,2013-01-28
s2004SUMATR01RHIE,2015-09-16
s2008WENCHU01FIEL,2013-03-07
s2008WENCHU02FIEL,2013-03-07
s2008WENCHU03FIEL,2013-03-07
s2012MASSET01WEIx,2013-08-07
s2012SUMATR01WEIx,2013-08-07
s2010ELMAYO01WEIx,2013-07-18
s2010MAULEC01SLAD,2013-08-07
s2008WENCHU01YAGI,2015-09-15
s2006JAVAIN01YAGI,2015-09-15
